id,age,score,group,city
1,55,20.445224973151742,A,Moscow
2,61,87.81174363909454,B,Almaty
3,30,2.7387593197926163,C,Astana
4,26,67.04675101784022,A,Moscow
5,27,41.730480236712694,B,Almaty
6,29,55.868982844575164,C,Astana
7,23,14.038693859523377,A,Moscow
8,33,19.81014890848788,B,Almaty
9,18,80.07445686755366,C,Astana
10,34,96.82615757193975,A,Moscow
11,19,31.342417815924286,B,Almaty
12,30,69.23226156693141,C,Astana
13,25,87.63891522960382,A,Moscow
14,63,89.46066635038473,B,Almaty
15,24,8.504421136977792,C,Astana
16,43,3.905478323288236,A,Moscow
17,38,16.98304195645689,B,Almaty
18,55,87.8142503429413,C,Astana
19,36,9.83468338330501,A,Moscow
20,38,42.11076250050522,B,Almaty
